constraint,rating
On-Body,3
On-Body,4
On-Body,3
On-Body,4
On-Body,5
On-Body,1
On-Body,3
On-Body,4
On-Body,4
On-Body,5
On-Body,3
On-Body,4
On-Body,4
On-Body,2
On-Body,4
On-Body,4
On-Body,4
On-Body,4
On-Body,3
Phone,4
Phone,4
Phone,3
Phone,4
Phone,2
Phone,4
Phone,4
Phone,2
Phone,3
Phone,1
Phone,5
Phone,3
Phone,3
Phone,3
Phone,4
Phone,4
Phone,4
Phone,4
Phone,3
Phone,4
Phone,3
Phone,5
Phone,4
Phone,3
Phone,4
Phone,4
Phone,3
Phone,4
Phone,2
Phone,4
Phone,4
Phone,2
Phone,3
Phone,1
Phone,5
Phone,3
Phone,3
Phone,3
Phone,4
Phone,4
Phone,4
Phone,4
Phone,3
Phone,4
Phone,3
Phone,5
Phone,4
Phone,3
In-Air,4
In-Air,4
In-Air,4
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,2
In-Air,3
In-Air,5
In-Air,4
In-Air,5
In-Air,4
In-Air,3
In-Air,4
In-Air,3
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,3
In-Air,4
In-Air,3
In-Air,4
In-Air,4
In-Air,4
In-Air,4
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,2
In-Air,3
In-Air,5
In-Air,4
In-Air,5
In-Air,4
In-Air,3
In-Air,4
In-Air,3
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,3
In-Air,4
In-Air,3
In-Air,4
On-Body,4
On-Body,5
On-Body,4
On-Body,4
On-Body,4
On-Body,3
On-Body,4
On-Body,4
On-Body,3
On-Body,5
On-Body,5
On-Body,4
On-Body,3
On-Body,2
On-Body,5
On-Body,3
On-Body,3
On-Body,4
On-Body,3
On-Body,3
On-Body,5
On-Body,4
On-Body,3
On-Body,4
On-Body,4
On-Body,5
On-Body,4
On-Body,4
On-Body,4
On-Body,3
On-Body,3
On-Body,4
On-Body,3
On-Body,5
On-Body,5
On-Body,4
On-Body,3
On-Body,2
On-Body,5
On-Body,3
On-Body,3
On-Body,4
On-Body,3
On-Body,3
On-Body,5
On-Body,4
On-Body,3
On-Body,4
Phone,4
Phone,4
Phone,3
Phone,4
Phone,3
Phone,4
Phone,4
Phone,3
Phone,3
Phone,5
Phone,2
Phone,4
Phone,3
Phone,4
Phone,3
Phone,4
Phone,4
Phone,4
Phone,5
Phone,3
Phone,3
Phone,4
Phone,4
Phone,3
Phone,4
Phone,4
Phone,3
Phone,4
Phone,3
Phone,4
Phone,4
Phone,3
Phone,3
Phone,5
Phone,2
Phone,4
Phone,3
Phone,4
Phone,3
Phone,4
Phone,4
Phone,4
Phone,5
Phone,3
Phone,3
Phone,4
Phone,4
Phone,3
In-Air,4
In-Air,3
In-Air,4
In-Air,4
In-Air,4
In-Air,3
In-Air,4
In-Air,2
In-Air,5
In-Air,2
In-Air,4
In-Air,4
In-Air,3
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,3
In-Air,3
In-Air,3
In-Air,4
In-Air,4
In-Air,3
In-Air,4
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,2
In-Air,5
In-Air,2
In-Air,4
In-Air,4
In-Air,3
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,5
In-Air,3
In-Air,4
In-Air,3
In-Air,3
In-Air,3
In-Air,4
On-Body,5
On-Body,2
On-Body,3
On-Body,2
On-Body,4
On-Body,4
On-Body,3
On-Body,2
On-Body,5
On-Body,3
On-Body,3
On-Body,3
On-Body,4
On-Body,3
On-Body,4
On-Body,4
On-Body,3
On-Body,4
On-Body,3
On-Body,3
On-Body,3
On-Body,2
On-Body,4
On-Body,3
On-Body,4
On-Body,2
On-Body,3
On-Body,2
On-Body,4
On-Body,4
On-Body,3
On-Body,2
On-Body,5
On-Body,3
On-Body,3
On-Body,3
On-Body,4
On-Body,3
On-Body,4
On-Body,4
On-Body,3
On-Body,5
On-Body,3
On-Body,3
On-Body,3
On-Body,2
On-Body,4
On-Body,4
Phone,3
Phone,4
Phone,3
Phone,4
Phone,4
Phone,4
Phone,4
Phone,4
Phone,3
Phone,3
Phone,3
Phone,3
Phone,3
Phone,4
Phone,4
Phone,4
Phone,3
Phone,4
Phone,3
Phone,5
Phone,4
Phone,5
Phone,4
Phone,4
Phone,4
Phone,4
Phone,3
Phone,4
Phone,4
Phone,4
Phone,4
Phone,4
Phone,3
Phone,3
Phone,3
Phone,3
Phone,3
Phone,4
Phone,4
Phone,4
Phone,3
Phone,4
Phone,3
Phone,5
Phone,4
Phone,5
Phone,4
Phone,4
